dim,n_points,version,threads,time_mean_s,time_std_s,speedup,rep_1,rep_2,rep_3,rep_4,rep_5,rep_6,rep_7,rep_8,rep_9,rep_10
3,200000,parallel,1,0.39814,0.00626,1.0314,0.3892,0.3987,0.3953,0.3996,0.3867,0.3979,0.407,0.4074,0.3991,0.4005
3,200000,parallel,8,0.14558,0.00378,2.8209,0.1458,0.1458,0.1488,0.1369,0.1462,0.1483,0.1449,0.1515,0.1419,0.1457
3,200000,parallel,16,0.14193,0.01674,2.8934,0.1109,0.1404,0.1427,0.1429,0.1548,0.1381,0.1738,0.1185,0.1478,0.1494
3,200000,parallel,32,0.13811,0.00918,2.9734,0.1332,0.1441,0.1364,0.1427,0.1273,0.1594,0.1363,0.1245,0.1383,0.1389
3,300000,serial,1,0.82603,0.00686,1.0,0.8225,0.8332,0.8207,0.8269,0.8202,0.8276,0.8202,0.8414,0.8183,0.8293
3,300000,parallel,1,0.82264,0.01166,1.0041,0.8075,0.8137,0.8118,0.8312,0.8392,0.8386,0.8166,0.8257,0.8092,0.8329
3,300000,parallel,8,0.31802,0.00998,2.5974,0.3101,0.32,0.332,0.3237,0.3293,0.3049,0.3207,0.3215,0.3195,0.2985
3,300000,parallel,16,0.34723,0.04367,2.3789,0.4113,0.337,0.318,0.3291,0.3943,0.3229,0.2838,0.3234,0.3283,0.4242
3,300000,parallel,32,0.28671,0.00606,2.8811,0.2872,0.2921,0.2808,0.2893,0.2819,0.2968,0.279,0.2894,0.2782,0.2924
3,400000,serial,1,1.0936,0.01196,1.0,1.1015,1.1006,1.0689,1.0959,1.1028,1.083,1.0773,1.0981,1.1023,1.1056
3,400000,parallel,1,1.0752,0.00916,1.0171,1.0702,1.0751,1.0755,1.0696,1.0746,1.0715,1.1014,1.0736,1.0664,1.0741
3,400000,parallel,8,0.42419,0.02189,2.5781,0.4081,0.4343,0.4572,0.3975,0.419,0.453,0.4036,0.4101,0.4529,0.4062
3,400000,parallel,16,0.42924,0.03997,2.5478,0.3775,0.4918,0.4219,0.369,0.4744,0.4821,0.4008,0.4228,0.427,0.4251
3,400000,parallel,32,0.38692,0.01123,2.8264,0.374,0.3923,0.3759,0.3805,0.4013,0.3793,0.3885,0.3917,0.3764,0.4093
3,600000,serial,1,2.9676,0.0261,1.0,2.9841,2.9404,2.9386,3.0004,3.0025,2.9933,2.9673,2.9501,2.9267,2.9726
3,600000,parallel,1,2.88868,0.018,1.0273,2.9045,2.9204,2.9046,2.8648,2.8784,2.8956,2.8645,2.8781,2.9004,2.8755
3,600000,parallel,8,1.19324,0.02374,2.487,1.2285,1.2174,1.1746,1.211,1.1734,1.1766,1.2279,1.1792,1.181,1.1628
3,600000,parallel,16,1.30691,0.12242,2.2707,1.286,1.2892,1.4415,1.1673,1.2217,1.3509,1.2381,1.6026,1.2303,1.2415
3,600000,parallel,32,1.09361,0.02497,2.7136,1.0868,1.0754,1.1026,1.0592,1.0796,1.1221,1.0778,1.0767,1.1465,1.1094
3,800000,serial,1,4.02216,0.14993,1.0,3.9298,4.0183,3.9286,3.9374,3.9516,4.2199,4.3938,3.9569,3.9671,3.9182
3,800000,parallel,1,3.81146,0.04091,1.0553,3.8925,3.7883,3.7804,3.7933,3.7978,3.892,3.7888,3.794,3.8042,3.7833
3,800000,parallel,8,1.56833,0.02128,2.5646,1.621,1.5814,1.5817,1.5396,1.553,1.5637,1.5588,1.5547,1.5678,1.5616
3,800000,parallel,16,1.51797,0.04397,2.6497,1.5688,1.5122,1.535,1.5871,1.4906,1.4844,1.4743,1.4596,1.4894,1.5783
3,800000,parallel,32,1.44933,0.02106,2.7752,1.4714,1.4672,1.4682,1.4239,1.4411,1.4367,1.4286,1.4414,1.4276,1.4872
3,1000000,serial,1,3.73432,0.01553,1.0,3.7388,3.7246,3.7723,3.7442,3.725,3.7365,3.7265,3.7364,3.7283,3.7106
3,1000000,parallel,1,3.65133,0.01147,1.0227,3.6416,3.6362,3.6546,3.6477,3.6585,3.6564,3.6769,3.6376,3.6568,3.647
3,1000000,parallel,8,1.50885,0.02309,2.4749,1.5107,1.5724,1.5071,1.4879,1.496,1.515,1.4959,1.4907,1.5146,1.4982
3,1000000,parallel,16,1.45787,0.04444,2.5615,1.4432,1.3914,1.4733,1.4319,1.4263,1.4842,1.4623,1.4673,1.5663,1.4325
3,1000000,parallel,32,1.40656,0.02284,2.6549,1.3895,1.4568,1.4197,1.4391,1.3846,1.3941,1.3958,1.396,1.3994,1.3906
